id,dataset,complexity,category,entity_types,score,corrupted_q,original_q
BDocs_0649,BDocs,C1,Element,document_element_type,-35,What is the inventory level?,What is Gross Amount?
BDocs_0667,BDocs,C1,Element,document_element_type,-35,What is the inventory report?,What is the Invoice ID?
BDocs_0668,BDocs,C1,Element,document_element_type,-35,What is the purchase summary?,What is the Invoice ID?
BDocs_0718,BDocs,C1,Element,document_element_type,-35,What is the inventory level?,What is Gross Amount?
BDocs_0189,BDocs,C1,Element,document_element_type,-36,What is the menu item and footers?,What is the Remarks and footers?
BDocs_0536,BDocs,C1,Element,document_element_type,-36,What is the summary of the event?,What is the Buyer information?
BDocs_0540,BDocs,C1,Element,document_element_type,-36,What are the Key Visual Elements?,What is the Buyer information?
BDocs_0581,BDocs,C1,Element,document_element_type,-36,What is the Move fill and footers?,What is the Remarks and footers?
BDocs_0625,BDocs,C1,Element,document_element_type,-36,What are the Key visual elements?,What is the Buyer information?
BDocs_0452,BDocs,C1,Element,document_element_type,-37,What is the purpose of receipts?,What is the Charity Number?
BDocs_0499,BDocs,C1,Element,document_element_type,-37,What are the Key Visual Elements?,What is the Bank information?
BDocs_0533,BDocs,C1,Element,document_element_type,-37,What are the Key Visual Elements?,What is the Bank information?
BDocs_0545,BDocs,C1,Element,document_element_type,-37,What are the Key Visual Elements?,What is the Bank information?
BDocs_0013,BDocs,C1,Element,document_element_type,-38,What is the quotations and footers?,What is the Remarks and footers?
BDocs_0214,BDocs,C1,Element,document_element_type,-39,What are the accounting policies?,What is the Charity Number?
BDocs_0363,BDocs,C1,Element,document_element_type,-39,What are the Key Visual Elements?,What is the Charity Number?
BDocs_0487,BDocs,C1,Element,document_element_type,-39,What is the breakdown information?,What is the Bank information?
BDocs_0537,BDocs,C1,Element,document_element_type,-39,What is the breakdown information?,What is the Bank information?
BDocs_0560,BDocs,C1,Element,document_element_type,-39,What is the breakdown information?,What is the Bank information?
BDocs_0521,BDocs,C1,Element,document_element_type,-40,What is the Total Items and footers?,What is the Remarks and footers?
SlideVQA_0569,SlideVQA,C1,Element,document_element_type,-41,Which physiology are shown for Analytics?,Which Attributes are shown for Analytics?
BDocs_0007,BDocs,C1,Element,document_element_type,-41,What are the copy instructions?,What is Gross Amount?
BDocs_0159,BDocs,C1,Element,document_element_type,-41,What are the copy instructions?,What is Gross Amount?
BDocs_0169,BDocs,C1,Element,document_element_type,-41,What is the inventory record ID?,What is the Invoice ID?
BDocs_0182,BDocs,C1,Element,document_element_type,-41,What is the logo of the company?,What is the Invoice ID?
BDocs_0196,BDocs,C1,Element,document_element_type,-41,What is the logo of the company?,What is the Invoice ID?
BDocs_0468,BDocs,C1,Element,document_element_type,-41,What are the queries?,What is the Payment terms and conditions?
BDocs_0472,BDocs,C1,Element,document_element_type,-41,What is the item?,What is the Payment terms and conditions?
BDocs_0482,BDocs,C1,Element,document_element_type,-41,What is the Move fill condition?,What is the Payment terms and conditions?
BDocs_0663,BDocs,C1,Element,document_element_type,-41,What is the item?,What is the Payment terms and conditions?
BDocs_0695,BDocs,C1,Element,document_element_type,-41,What are the copy instructions?,What is Gross Amount?
BDocs_0209,BDocs,C1,Element,document_element_type,-42,What is the IQ mentioned below the logo?,What is the date mentioned below the logo?
BDocs_0549,BDocs,C1,Element,document_element_type,-42,What is the Knowledge mention?,What is the Title?
BDocs_0639,BDocs,C1,Element,document_element_type,-42,What is the title of the book?,What is the Title?
BDocs_0645,BDocs,C1,Element,document_element_type,-42,What is the initials' meaning?,What is the Title?
BDocs_0719,BDocs,C1,Element,document_element_type,-43,What is the Population statement?,What is the Invoice ID?
SlideVQA_0077,SlideVQA,C1,Element,document_element_type,-44,What is the most common number in step 2?,What base is most often incorrect in step 2?
BDocs_0075,BDocs,C1,Element,document_element_type,-45,What is the amount of Handwritten text?,what is the amount of quotation ?
BDocs_0198,BDocs,C1,Element,document_element_type,-45,What is the detailed information?,What is Gross Amount?
BDocs_0746,BDocs,C1,Element,document_element_type,-45,What is the meaning of Signature?,What is Gross Amount?
BDocs_0366,BDocs,C1,Element,document_element_type,-46,What is the identification and footers?,What is the Remarks and footers?
BDocs_0373,BDocs,C1,Element,document_element_type,-46,What is the dynamic composition?,What is the Title?
SlideVQA_0524,SlideVQA,C1,Element,document_element_type,-47,What are the attributes shown for Analytics?,Which Attributes are shown for Analytics?
SlideVQA_0251,SlideVQA,C1,Element,document_element_type,-48,What three examples of portrait are given?,What three examples of negative words are given?
BDocs_0101,BDocs,C1,Element,document_element_type,-48,What are the Key Visual Elements?,What is the Title?
BDocs_0156,BDocs,C1,Element,document_element_type,-48,What are the Key Visual Elements?,What is the Title?
BDocs_0302,BDocs,C1,Element,document_element_type,-48,What is the purchase order information?,What is the Buyer information?
BDocs_0403,BDocs,C1,Element,document_element_type,-48,What is the digital artwork and footers?,What is the Remarks and footers?
BDocs_0585,BDocs,C1,Element,document_element_type,-48,What is the Population statement?,What is the Title?
BDocs_0615,BDocs,C1,Element,document_element_type,-48,What are the Key Visual Elements?,What is the Title?
BDocs_0651,BDocs,C1,Element,document_element_type,-48,What are the Key Visual Elements?,What is the Title?
BDocs_0371,BDocs,C1,Element,document_element_type,-49,What is the description of the graphics?,What is the Invoice Desciption?
BDocs_0620,BDocs,C1,Element,document_element_type,-49,What is the financial accounts number?,What is the Charity Number?
SlideVQA_0303,SlideVQA,C1,Element,document_element_type,-50,What are some examples of professional headshots?,What three examples of negative words are given?
BDocs_0250,BDocs,C1,Element,document_element_type,-50,What is the Advertiser's Contract ID?,What is the Contract ID?
SlideVQA_0331,SlideVQA,C1,Element,document_element_type,-51,Are there more items listed under Text or DeepAI?,Are there more items listed under UX or DeepAI?
BDocs_0146,BDocs,C1,Element,document_element_type,-51,What is the expenditure account number?,What is the Charity Number?
BDocs_0154,BDocs,C1,Element,document_element_type,-51,Who developed the 2 Text Nos. 7149 and 7152?,Who developed the 2 house plans Nos. 7149 and 7152?
BDocs_0166,BDocs,C1,Element,document_element_type,-51,Who developed the 2 Plan A Nos. 7149 and 7152?,Who developed the 2 house plans Nos. 7149 and 7152?
BDocs_0495,BDocs,C1,Element,document_element_type,-52,What is the additional information?,What is the Title?
BDocs_0737,BDocs,C1,Element,document_element_type,-52,How much pepper is needed for the Mayonnaise report?,How much pepper is needed for the Mayonnaise recipe?
BDocs_0074,BDocs,C1,Element,document_element_type,-53,What is the amount of text in the document?,what is the amount of quotation ?
SlideVQA_0247,SlideVQA,C1,Element,document_element_type,-54,What percent of people choose comments for text?,What percent of people choose full sentences for text?
SlideVQA_0268,SlideVQA,C1,Element,document_element_type,-54,What percent of people choose responses for text?,What percent of people choose full sentences for text?
SlideVQA_0327,SlideVQA,C1,Element,document_element_type,-54,What three examples of business profiles are given?,What three examples of negative words are given?
SlideVQA_0409,SlideVQA,C1,Element,document_element_type,-54,What percent of people choose content for text?,What percent of people choose full sentences for text?
SlideVQA_0461,SlideVQA,C1,Element,document_element_type,-54,What percent of people choose key findings for text?,What percent of people choose full sentences for text?
BDocs_0346,BDocs,C1,Element,document_element_type,-54,What is the GENERAL INSTRUCTION for Afternoon?,What is the Sample Menu for Afternoon?
BDocs_0492,BDocs,C1,Element,document_element_type,-54,What is the abstract design element?,What is the Title?
BDocs_0653,BDocs,C1,Element,document_element_type,-54,What is the function of the Function keys?,What is the Buyer information?
BDocs_0069,BDocs,C1,Element,document_element_type,-55,What is the Audited Financial Statements?,What is the Charity Number?
BDocs_0117,BDocs,C1,Element,document_element_type,-55,What is the breakdown of Gross Amount?,What is Gross Amount?
BDocs_0238,BDocs,C1,Element,document_element_type,-55,What are the details of the payment notes?,What is the Bank information?
SlideVQA_0610,SlideVQA,C1,Element,document_element_type,-56,What is the logo that shall be filed with the Registrar?,What is the Form that shall be filed with the Registrar?
BDocs_0347,BDocs,C1,Element,document_element_type,-56,What are the recommended options for Afternoon?,What is the Sample Menu for Afternoon?
BDocs_0726,BDocs,C1,Element,document_element_type,-56,What is the dynamic composition and footers?,What is the Remarks and footers?
BDocs_0497,BDocs,C1,Element,document_element_type,-57,When was the Key Visual Elements created?,When is the letter dated?
BDocs_0716,BDocs,C1,Element,document_element_type,-57,What are the audited financial statements?,What is the Charity Number?
BDocs_0026,BDocs,C1,Element,document_element_type,-58,What are the Key visual elements and footers?,What is the Remarks and footers?
BDocs_0038,BDocs,C1,Element,document_element_type,-58,How much vinegar is needed for the French Dressing report?,How much vinegar is needed for the French Dressing recipe?
BDocs_0565,BDocs,C1,Element,document_element_type,-58,What are the Key visual elements and footers?,What is the Remarks and footers?
BDocs_0731,BDocs,C1,Element,document_element_type,-58,What are the Key visual elements and footers?,What is the Remarks and footers?
SlideVQA_0440,SlideVQA,C1,Element,document_element_type,-61,Are there more items listed under headshots or DeepAI?,Are there more items listed under UX or DeepAI?
SlideVQA_0715,SlideVQA,C1,Element,document_element_type,-61,What percentage of all headshots is created by individuals?,What percentage of all information is created by individuals?
BDocs_0044,BDocs,C1,Element,document_element_type,-61,What are the conditions for Gross Amount?,What is Gross Amount?
BDocs_0167,BDocs,C1,Element,document_element_type,-61,What are the conditions for Gross Amount?,What is Gross Amount?
SlideVQA_0007,SlideVQA,C1,Element,document_element_type,-62,How many Samples are there for Task Name WB Hickok?,How many Short Answer items are there for Task Name WB Hickok?
SlideVQA_0102,SlideVQA,C1,Element,document_element_type,-62,How many methodologies are there for Task Name WB Hickok?,How many Short Answer items are there for Task Name WB Hickok?
SlideVQA_0377,SlideVQA,C1,Element,document_element_type,-62,What percent of people choose full sentences for comments?,What percent of people choose full sentences for text?
SlideVQA_0470,SlideVQA,C1,Element,document_element_type,-64,What percent of people choose full sentences for responses?,What percent of people choose full sentences for text?
SlideVQA_0700,SlideVQA,C1,Element,document_element_type,-64,Who executes all your HTML tags during every major release?,Who executes all your unit test code during every major release?
BDocs_0063,BDocs,C1,Element,document_element_type,-64,What is the highest temperature recorded?,What is the Title?
BDocs_0077,BDocs,C1,Element,document_element_type,-64,What is the highest temperature recorded?,What is the Title?
BDocs_0388,BDocs,C1,Element,document_element_type,-64,What is the abstract design element and footers?,What is the Remarks and footers?
BDocs_0488,BDocs,C1,Element,document_element_type,-64,What is the title of the digital artwork?,What is the Title?
BDocs_0709,BDocs,C1,Element,document_element_type,-64,How much pepper is needed for the Mayonnaise dietary plan?,How much pepper is needed for the Mayonnaise recipe?
BDocs_0603,BDocs,C1,Element,document_element_type,-65,What is the total sum of values in Columns?,What is Gross Amount?
BDocs_0617,BDocs,C1,Element,document_element_type,-65,What is the definition of Special Handling?,What is Gross Amount?
BDocs_0693,BDocs,C1,Element,document_element_type,-65,What is the total sum of values in Columns?,What is Gross Amount?
SlideVQA_0122,SlideVQA,C1,Element,document_element_type,-66,How many Sample Consent Forms are there for Task Name WB Hickok?,How many Short Answer items are there for Task Name WB Hickok?
BDocs_0160,BDocs,C1,Element,document_element_type,-67,What is the amount for Signature as mentioned in the given page?,what is the amount for other costs as mentioned in the given page ?
BDocs_0170,BDocs,C1,Element,document_element_type,-67,Who developed the 2 detailed breakdowns Nos. 7149 and 7152?,Who developed the 2 house plans Nos. 7149 and 7152?
BDocs_0659,BDocs,C1,Element,document_element_type,-67,What is the Charity Number for Floral Elements?,What is the Charity Number?
SlideVQA_0234,SlideVQA,C1,Element,document_element_type,-68,What Gene Mutation is most commonly incorrect in step 2?,What base is most often incorrect in step 2?
BDocs_0191,BDocs,C1,Element,document_element_type,-68,What is the TO whom the Terms and Conditions are sent?,What is the TO whom the invoice is sent?
BDocs_0270,BDocs,C1,Element,document_element_type,-68,What is the TO whom the Terms and Conditions are sent?,What is the TO whom the invoice is sent?
BDocs_0622,BDocs,C1,Element,document_element_type,-69,What is the Charity Number for Circuit Projects?,What is the Charity Number?
SlideVQA_0121,SlideVQA,C1,Element,document_element_type,-70,What Wild-Type Gene is most commonly incorrect in step 2?,What base is most often incorrect in step 2?
SlideVQA_0386,SlideVQA,C1,Element,document_element_type,-70,What percent of people choose full sentences for key findings?,What percent of people choose full sentences for text?
SlideVQA_0519,SlideVQA,C1,Element,document_element_type,-70,What is the cover image that shall be filed with the Registrar?,What is the Form that shall be filed with the Registrar?
BDocs_0025,BDocs,C1,Element,document_element_type,-70,How much vinegar is needed for the French Dressing dietary plan?,How much vinegar is needed for the French Dressing recipe?
SlideVQA_0454,SlideVQA,C1,Element,document_element_type,-72,What percent of people choose full sentences for Presentations?,What percent of people choose full sentences for text?
BDocs_0065,BDocs,C1,Element,document_element_type,-73,What is the content of the Annual Report Accounts?,What is the Charity Number?
BDocs_0694,BDocs,C1,Element,document_element_type,-73,What is the detailed breakdown of the Property?,What is the Property?
BDocs_0463,BDocs,C1,Element,document_element_type,-74,What is the amount of 1987 FINANCIAL REPORT mentioned in the given page?,what is the amount of 1987 grant commitments mentioned in the given page ?
BDocs_0638,BDocs,C1,Element,document_element_type,-74,What is the Title of the Terms and Conditions?,What is the Title?
BDocs_0109,BDocs,C1,Element,document_element_type,-75,What is the budget for the other minutes as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0119,BDocs,C1,Element,document_element_type,-75,What is the budget for the other Agenda as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0123,BDocs,C1,Element,document_element_type,-75,What is the Agenda for the other grants as mentioned in the given revenue ?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0252,BDocs,C1,Element,document_element_type,-75,What is the content of the Articles of Association?,What is the Charity Number?
BDocs_0049,BDocs,C1,Element,document_element_type,-76,What is the financial transaction log and its footers?,What is the Remarks and footers?
BDocs_0424,BDocs,C1,Element,document_element_type,-76,What is the amount of 1987 auditing procedures mentioned in the given page?,what is the amount of 1987 grant commitments mentioned in the given page ?
SlideVQA_0560,SlideVQA,C1,Element,document_element_type,-77,What are the attributes shown for self-report in Analytics?,Which Attributes are shown for Analytics?
BDocs_0507,BDocs,C1,Element,document_element_type,-77,What is the purpose of an advertising order form?,What is Gross Amount?
BDocs_0327,BDocs,C1,Element,document_element_type,-78,What is the Agenda for the interest income as mentioned in the given revenue ?,what is the budget for the interest income as mentioned in the given revenue ?
BDocs_0331,BDocs,C1,Element,document_element_type,-78,What is the budget for the interest income as mentioned in the given minutes?,what is the budget for the interest income as mentioned in the given revenue ?
BDocs_0337,BDocs,C1,Element,document_element_type,-78,What is the definition of a minimalist visual element?,What is the Buyer information?
BDocs_0339,BDocs,C1,Element,document_element_type,-78,What is the budget for the interest income as mentioned in the given Agenda?,what is the budget for the interest income as mentioned in the given revenue ?
BDocs_0349,BDocs,C1,Element,document_element_type,-78,What is the budget for the materials as mentioned in the given revenue?,what is the budget for the interest income as mentioned in the given revenue ?
SlideVQA_0442,SlideVQA,C1,Element,document_element_type,-79,Are there more items listed under presentation slide or DeepAI?,Are there more items listed under UX or DeepAI?
BDocs_0112,BDocs,C1,Element,document_element_type,-79,What is the budget for the other materials as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0675,BDocs,C1,Element,document_element_type,-79,What is the detailed breakdown of the Charity Number?,What is the Charity Number?
SlideVQA_0134,SlideVQA,C1,Element,document_element_type,-80,How many Methodology Checklist items are there for Task Name WB Hickok?,How many Short Answer items are there for Task Name WB Hickok?
BDocs_0333,BDocs,C1,Element,document_element_type,-80,What is the budget for the interest income as mentioned in the given materials?,what is the budget for the interest income as mentioned in the given revenue ?
BDocs_0342,BDocs,C1,Element,document_element_type,-80,What is the budget for the interest income as mentioned in the given documents?,what is the budget for the interest income as mentioned in the given revenue ?
SlideVQA_0698,SlideVQA,C1,Element,document_element_type,-81,What percentage of all business directories are created by individuals?,What percentage of all information is created by individuals?
BDocs_0111,BDocs,C1,Element,document_element_type,-81,What is the budget for the other enclosures as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0125,BDocs,C1,Element,document_element_type,-81,What are the materials for the other grants as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0015,BDocs,C1,Element,document_element_type,-82,What is the general instruction for making the French Dressing recipe?,How much vinegar is needed for the French Dressing recipe?
SlideVQA_0324,SlideVQA,C1,Element,document_element_type,-83,Are there more items listed under social media profile or DeepAI?,Are there more items listed under UX or DeepAI?
SlideVQA_0597,SlideVQA,C1,Element,document_element_type,-86,What is the educational graphic that shall be filed with the Registrar?,What is the Form that shall be filed with the Registrar?
SlideVQA_0081,SlideVQA,C1,Element,document_element_type,-100,What are the most common errors in step 2 regarding Key Visual Elements?,What base is most often incorrect in step 2?
BDocs_0118,BDocs,C1,Element,document_element_type,-101,What is the budget for the other Financial statements as mentioned in the given revenue?,what is the budget for the other grants as mentioned in the given revenue ?
BDocs_0340,BDocs,C1,Element,document_element_type,-102,What is the budget for the interest income as mentioned in the given Financial statements?,what is the budget for the interest income as mentioned in the given revenue ?
BDocs_0099,BDocs,C1,Element,document_element_type,-106,What is the abbreviation for the highest temperature recorded?,What is the Title?
SlideVQA_0273,SlideVQA,C1,Element,document_element_type,-128,"Which has a faster Running Time for 5 Iterations, Integration with Agenda or Spark?","Which has a faster Running Time for 5 Iterations, Integration with Standard data formats or Spark?"
SlideVQA_0282,SlideVQA,C1,Element,document_element_type,-128,"Which has a faster Running Time for 5 Iterations, Integration with Text or Spark?","Which has a faster Running Time for 5 Iterations, Integration with Standard data formats or Spark?"
SlideVQA_0322,SlideVQA,C1,Element,document_element_type,-128,"Which has a faster Running Time for 5 Iterations, Integration with Components or Spark?","Which has a faster Running Time for 5 Iterations, Integration with Standard data formats or Spark?"
SlideVQA_0333,SlideVQA,C1,Element,document_element_type,-128,"Which has a faster Running Time for 5 Iterations, Integration with services or Spark?","Which has a faster Running Time for 5 Iterations, Integration with Standard data formats or Spark?"
SlideVQA_0337,SlideVQA,C1,Element,document_element_type,-128,"Which has a faster Running Time for 5 Iterations, Integration with Text Boxes or Spark?","Which has a faster Running Time for 5 Iterations, Integration with Standard data formats or Spark?"
SlideVQA_0488,SlideVQA,C1,Element,document_element_type,-130,What is the difference in percentage of net neutrality news regarding news volume by standards between Mainstream and Tech news?,What is the difference in percentage of net neutrality news regarding news volume by source type between Mainstream and Tech news?
SlideVQA_0533,SlideVQA,C1,Element,document_element_type,-130,What is the difference in percentage of net neutrality news regarding news volume by new rules between Mainstream and Tech news?,What is the difference in percentage of net neutrality news regarding news volume by source type between Mainstream and Tech news?
SlideVQA_0616,SlideVQA,C1,Element,document_element_type,-132,What is the difference in percentage of net neutrality news regarding news volume by content type between Mainstream and Tech news?,What is the difference in percentage of net neutrality news regarding news volume by source type between Mainstream and Tech news?
SlideVQA_0499,SlideVQA,C1,Element,document_element_type,-136,What is the difference in percentage of net neutrality news regarding news volume by public comment between Mainstream and Tech news?,What is the difference in percentage of net neutrality news regarding news volume by source type between Mainstream and Tech news?
SlideVQA_0166,SlideVQA,C1,Element,document_element_type,-146,What is the difference in the user and company values given for the sticky notes with a desirability score of 10 on the User Decision Matrix?,What is the difference in the user and company values given for the concept with a desirability score of 10 on the User Decision Matrix?
SlideVQA_0068,SlideVQA,C1,Element,document_element_type,-160,What is the difference in the user and company values given for the Key Visual Elements with a desirability score of 10 on the User Decision Matrix?,What is the difference in the user and company values given for the concept with a desirability score of 10 on the User Decision Matrix?
SlideVQA_0256,SlideVQA,C1,Element,document_element_type,-170,"On the slide titled Types of Hypothesis, looking at the diagram, what kind of hypothesis is a Text Hypothesis?","On the slide titled Types of Hypothesis, looking at the diagram, what kind of hypothesis is a Null Hypothesis?"
SlideVQA_0358,SlideVQA,C1,Element,document_element_type,-170,"On the slide titled Definition, looking at the diagram, what kind of hypothesis is a Null Hypothesis?","On the slide titled Types of Hypothesis, looking at the diagram, what kind of hypothesis is a Null Hypothesis?"
SlideVQA_0458,SlideVQA,C1,Element,document_element_type,-170,"On the slide titled logo, looking at the diagram, what kind of hypothesis is a Null Hypothesis?","On the slide titled Types of Hypothesis, looking at the diagram, what kind of hypothesis is a Null Hypothesis?"
SlideVQA_0465,SlideVQA,C1,Element,document_element_type,-174,"On the slide titled 'Types of Hypothesis', looking at the diagram, what kind of hypothesis is a Null Hypothesis?","On the slide titled Types of Hypothesis, looking at the diagram, what kind of hypothesis is a Null Hypothesis?"
